"PatientID";"InternalNumber";"PatientType";"Sex";"PoliteAddress";"LetterPoliteAddress";"LastNamePrefix";"Title";"FirstName";"LastName";"DateOfBirth";"Street";"CountryCode";"ZIPID";"City";"HomePhone";"WorkPhone";"MobilePhone";"Fax";"Email";"WWW";"StaffID";"DoctorID";"HealthInsuranceID";"HealthInsuranceAccount";"HealthInsuranceStatus";"StatusExtension";"CardValidTo";"SurchargeStatus";"Homepatient";"Distance";"HandlingType";"AltPayeeActive";"APPoliteAddress";"APLetterPoliteAddress";"APLastNamePrefix";"APTitle";"APLastName";"APFirstName";"APStreet";"APZIP";"APCity";"Profession";"Company";"BankID";"BankName";"BankAccount";"Active";"RecordCreationDate";"RecordModificationDate";"Remark";"Version";"Deleted";"ExtPatientID";"IBAN";"BIC"
517130;1;"KASSE";"M";"HERR";"HERR_";"";"PROF";"Klaus";"Mustermann";"1968-03-18";"AZH-Straße 456";"";320175;"Petershausen";"0179-987654321";"";"";"";"klausi@mustermann.com";"";"";517129;335668;"5056749305";"3000";"W";"";"PFLICHTIG";"false";20;"HAUSBESUCH";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2011-09-13 00:00:00";"2015-11-03 00:00:00";"Achtung: Rezeptimage über den Button ""Datenservicce"" im /nRegister ""Rezepte"" im Abrechnungsportal aufrufbar!";12;0;"";"";""
517273;3;"KASSE";"W";"FRAU";"FRAU_";"BARONESS";"";"Beatrice";"Bichlhuber";"1912-12-12";"Feld-und Wiesenweg 20";"";320574;"Buxheim";"0180-987 987";"";"0180-987 987";"";"bea@trice.com";"";"";517272;332326;"08171-123456789";"3000";"1";"";"PFLICHTIG";"false";0;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2011-09-13 00:00:00";"2014-12-09 00:00:00";"Krankenhausaufenthalt vom 02.01. - 06.01.2015";7;0;"";"";""
517320;4;"PRIVAT";"W";"FRAU";"FRAU_";"GRAFIN";"";"Patricia";"Privee";"1969-09-06";"Grafstr. 1";"";320382;"Ehekirchen";"09355 -987654321";"";"";"";"";"";"";517319;335780;"";"5000";"1";"";"PFLICHTIG";"true";0;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2011-09-14 00:00:00";"2014-12-09 00:00:00";"";6;0;"";"";""
517439;5;"KASSE";"M";"HERR";"HERR_";"";"";"Gustav";"Geier";"1960-06-06";"Hauptstraße 4";"";320141;"Gaimersheim";"0160/89898989";"";"";"";"";"";"";517319;332399;"111111111111";"";"";"";"PFLICHTIG";"false";0;"HAUSBESUCH";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2011-09-14 00:00:00";"2015-11-03 00:00:00";"";7;0;"";"";""
517814;6;"KASSE";"W";"FRAU";"FRAU_";"";"";"Amelie";"Ansbacher";"1980-08-08";"Müllerstr.2";"";320267;"Ismaning";"0161 61616161";"";"0161 61616161";"";"amelie@mail.com";"";"";517272;332328;"797979797";"3000";"1";"";"PFLICHTIG";"false";0;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2011-09-14 00:00:00";"2016-06-29 00:00:00";"Stationärer Aufenthalt vom 14.12.-18.12.2015";12;0;"";"";""
517828;7;"KASSE";"M";"HERR";"HERR_";"";"";"Scharly";"Schulz";"1912-05-05";"Randweg 99";"";319759;"Gauting";"0178_56565656";"";"";"";"";"";"";517319;332328;"32323232323";"3000";"1";"";"PFLICHTIG";"false";0;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2011-09-14 00:00:00";"2014-12-16 00:00:00";"";4;0;"";"";""
518000;8;"KASSE";"M";"HERR";"HERR_";"";"";"Jürgen";"Jung";"2001-01-01";"Frühlingsstr.12";"";319263;"Heuchelheim-Klingen";"0177-77 88 77 88";"";"";"";"";"";"";517147;332326;"8585858585";"3000";"1";"";"FREI";"true";6;"HAUSBESUCH";"true";"HERR";"HERR_";"";"";"Jung";"Heinrich";"";"";"";"";"";"";"";"";"true";"2011-09-14 00:00:00";"2014-12-16 00:00:00";"";4;0;"";"";""
518017;9;"KASSE";"M";"HERR";"HERR_";"";"";"Marcus";"Möller";"1960-06-06";"Knöbelstr";"";319262;"Göcklingen";"0174-55555555";"";"";"";"";"";"";517129;332326;"32323232";"3000";"1";"";"PFLICHTIG";"false";0;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2011-09-14 00:00:00";"2015-11-03 00:00:00";"";2;0;"";"";""
518325;10;"KASSE";"M";"HERR";"HERR_";"";"";"Sören";"Schlau";"1940-04-04";"Reinkarnationsstraße 80";"";319799;"Andechs";"08151 161616";"";"";"";"";"";"";517319;332331;"999666222";"5000";"1";"";"PFLICHTIG";"true";0;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2012-02-10 00:00:00";"2015-07-17 00:00:00";"";6;0;"";"";""
520414;11;"PRIVAT";"M";"HERR";"HERR_";"";"DR";"Paul";"Stachus";"1956-07-07";"Am Platz 1";"";319675;"München";"089 987987";"";"";"";"";"";"";520491;335770;"";"";"";"";"PFLICHTIG";"false";0;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2013-08-20 00:00:00";"2015-11-03 00:00:00";"";6;0;"";"";""
